"TimeCreated","LogName","Id","ProviderName","LevelDisplayName","Message","CrashIndicator"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.0 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.0 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.0 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.0 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.1 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.1 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.1 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.1 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.1 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.1 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.1 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
"8/28/2026 12:20:06 AM","System","36874","Schannel","Error","An TLS 1.1 connection request was received from a remote client application, but none of the cipher suites supported by the client application are supported by the server. The TLS connection request has failed.
 The SSPI client process is svchost[TermService] (PID: 1252).","False"
